LIST OF WW2 SHIPS					
https://military-history.fandom.com/wiki/List_of_World_War_II_ships					
					
ID	Ship	Country	Type	Produksi	Fate
52	Almirante Condell	Chile	Almirante Lynch-class destroyer	January 1914	Decommissioned 1945
53	Almirante Latorre	Chile	Almirante Latorre-class battleship	1913, as HMS Canada (UK)	Scrapped 1959
54	Almirante Lynch	Chile	Almirante Lynch-class destroyer	1913	Decommissioned 1945
55	Almirante Simpson	Chile	Capitan O'Brien-class submarine	1929	Discarded 1957
56	Altamaha	United States Navy	Bogue-class escort carrier	15 September 1942	Scrapped 1946
57	Alvin C. Cockrell	United States Navy	John C. Butler-class destroyer escort	7 October 1944	Sunk as target 1969
58	Amagi	Empire of Japan	Unry?-class aircraft carrier	10 August 1944	Sunk 27 July 1945
59	Amastra	Royal Navy	MAC ship	September 1943	"Returned to merchant service post-war; renamed Idas"
60	Amazon	Royal Navy	Destroyer class prototype	5 May 1927	Scrapped 25 October 1948
61	Ambuscade	Royal Navy	Destroyer class prototype	15 March 1927	Scrapped 1946
62	Ameer	United States Navy Royal Navy	Ruler-class escort aircraft carrier	20 July 1943 (former USS Baffins)	Returned to USN 17 January 1946, sold into merchant service 17 September 1946 as Robin Kirk
63	Amesbury	United States Navy	Buckley-class destroyer escort	31 August 1943	sold for scrap, sank under tow 1962
64	Amethyst	Royal Navy	Modified Black Swan-class sloop	2 November 1943	Scrapped 19 January 1957
65	Amick	United States Navy	Cannon-class destroyer escort	26 July 1943	To Japan 1955, to Philippines 1976, scrapped 1989
66	Ammen	United States Navy	Fletcher-class destroyer	12 March 1943	Scrapped 1960
67	Amsterdam	United States Navy	Cleveland-class light cruiser	8 January 1945	Scrapped 1971
68	Ancylus	Royal Navy	Rapana-class MAC ship	October 1943	"returned to merchant service post-war; renamed Imbricaria"
69	Anderson	United States Navy	Sims-class destroyer	19 May 1939	Sunk in A-bomb test 1946
70	Andrea Doria	Kingdom of Italy	Andrea Doria-class battleship	13 March 1916	Scrapped 1956
71	Andres	United States Navy	Evarts-class destroyer escort	15 March 1943	Scrapped 1946
72	Annapolis	United States Navy Canada	Town-class destroyer	24 September 1940 (former USS MacKenzie)	Scrapped 1945
73	Anson	Royal Navy	King George V-class battleship	22 June 1942	Scrapped 1957
74	Antelope	Royal Navy	A-class destroyer	20 March 1930	Scrapped 1946
75	Anthony (H40)	Royal Navy	A-class destroyer	14 February 1930	Scrapped 1948
76	Anthony (DD-515)	United States Navy	Fletcher-class destroyer	26 February 1943	To West Germany 1958, sunk as target 1979
77	Antietam	United States Navy	Ticonderoga-class aircraft carrier	28 January 1945	Decommissioned 8 May 1963, scrapped 1974
78	Antiquois	Colombia	Guadiana-class destroyer		former Douro (Portugal)
79	Anton Schmitt	Nazi Germany	Type 1936 destroyer	24 September 1939	Sunk 10 April 1940
80	Anzio	United States Navy	Casablanca-class escort carrier	27 August 1943 as USS Coral Sea	Decommissioned 1946, scrapped 1959
81	Aoba	Empire of Japan	Aoba-class heavy cruiser	20 September 1927	Sunk 28 July 1945
82	Apollo	Royal Navy	Abdiel-class minelayer	9 October 1943	Scrapped 1962
83	Aquila	Kingdom of Italy	aircraft carrier	not completed	Scrapped 1952
84	Arbiter	United States Navy Royal Navy	Ruler-class escort carrier	31 December 1943 (former USS St. Simon)	Returned to USN 3 March 1946, stricken 12 April 1946, sold and renamed Coracero
85	Archer	Royal Navy	Avenger-class escort carrier	17 November 1941	Decommissioned 6 November 1943, became Empire Lagan aircraft ferry 15 March 1945, returned to USN 9 January 1946
86	Arcona	Nazi Germany	Floating anti-aircraft battery (former light cruiser)	18 May 1901	Scrapped 1948/1949
87	Ardent	Royal Navy	A-class destroyer	14 April 1930	Sunk 8 June 1940[7]
88	Arendal	Norway	Hunt-class (Type II) escort destroyer	16 November 1944 (former HMS Badsworth)	Scrapped 1965
89	Argus	Royal Navy	fleet aircraft carrier	September 1918	Scrapped 1946
90	Ariadne	Royal Navy	Abdiel-class minelayer	12 February 1944	Scrapped 1965
91	Arizona	United States Navy	Pennsylvania-class battleship	17 October 1916	Sunk 7 December 1941, war memorial
92	Ark Royal	Royal Navy	aircraft carrier	16 December 1938	Sunk 14 November 1941
93	Arkansas	United States Navy	Wyoming-class battleship	17 September 1912	Sunk 25 July 1946 in A-bomb test
94	Arkhangelsk	Royal Navy USSR	Revenge-class battleship	30 May 1944 (former HMS Royal Sovereign)	returned to Royal Navy 9 February 1949, scrapped Sep 1949
95	Armando Diaz	Kingdom of Italy	Luigi Cadorna-class light cruiser	29 April 1933	Sunk 25 February 1941
96	Arrow	Royal Navy	A-class destroyer	14 April 1930	Irreparably damaged, 1944
97	Arteveld	Belgium	patrol boat		Commissioned as Lorelei (Germany)
98	Arunta	Royal Australian Navy	Tribal-class destroyer	30 March 1942	Scrapped 1968
99	Ashanti	Royal Navy	Tribal-class destroyer	21 December 1938	Scrapped 1949
100	Ashigara	Empire of Japan	Myoko-class heavy cruiser	1928	Sunk 8 June 1945
101	Astoria (CA-34)	United States Navy	New Orleans-class heavy cruiser	28 April 1934	Sunk 9 August 1942 Battle of Savo Island
102	Astoria (CL-90)	United States Navy	Cleveland-class light cruiser	17 May 1944	Scrapped 1971
103	Atago	Empire of Japan	Takao-class heavy cruiser	30 March 1932	Sunk 23 October 1944
104	Athabaskan	Royal Canadian Navy	Tribal-class destroyer	3 February 1943	Sunk 29 April 1944
105	Atheling	United States Navy Royal Navy	Ruler-class escort carrier	1 August 1943 (former Bogue class USS Glacier)	returned to US 13 December 1946
106	Atherton	United States Navy	Cannon-class destroyer escort	29 August 1943	To Japan 1955, to Philippines 1976, active as of 2012
107	Atlanta (CL-51)	United States Navy	Atlanta-class light cruiser	24 December 1941	Sunk 13 November 1942 Guadalcanal
108	Atlanta (CL-104)	United States Navy	Cleveland-class light cruiser	3 December 1944	Sunk as target 1970
109	Atlantis	Nazi Germany	auxiliary cruiser	19 December 1939	Sunk 21 November 1941
110	Attacker	United States Navy Royal Navy	Attacker-class escort carrier	30 September 1942 (former USS Barnes)	Decommissioned 5 January 1946
111	Attilio Regolo	Kingdom of Italy	Capitani Romani-class light cruiser (also known as exploratori oceanici)	August 1942	ceded to France 1948
112	Attu	United States Navy	Casablanca-class escort carrier	30 June 1944	Scrapped 1947
113	Audacity	Royal Navy	escort aircraft carrier	20 June 1941	Sunk 21 December 1941
114	Augusta	United States Navy	Northampton-class heavy cruiser	30 January 1931	Scrapped 1960
115	Aulick (DD-258)	United States Navy Royal Navy	Clemson-class destroyer	26 July 1919	To UK as HMS Burnham 8 October 1940
116	Aulick (DD-569)	United States Navy	Fletcher-class destroyer	27 October 1942	To Greece 1959, scrapped 1997
117	Ault	United States Navy	Allen M. Sumner-class destroyer	31 May 1944	Scrapped 1974
118	Aurora	Soviet Union	Protected cruiser	29 July 1903	In 1957 became a museum ship.
119	Austin	United States Navy	Evarts-class destroyer escort	13 February 1943	Scrapped 1947
120	Australia	Royal Australian Navy	County-class heavy cruiser	24 April 1928	Scrapped 1955
121	Avenger	Royal Navy	Avenger-class escort carrier	2 March 1942 (former merchant ship Rio Hudson)	Sunk 15 November 1942
122	Aventure	Royal Navy Free French	River-class frigate	21 January 1944 (former HMS Braid)	Decommissioned 1964
123	Ayanami	Empire of Japan	Fubuki-class destroyer	30 April 1930	Sunk 15 November 1942
124	Aylwin	United States Navy	Farragut-class destroyer	1 March 1935	Scrapped 1947
125	Babbitt	USA	Wickes-class destroyer	24 October 1919	scrapped 1946
126	Babitonga	USA Brazil	Cannon-class destroyer escort	10 March 1945 (former USS Alger)	Decommissioned 1964
127	Bache	USA	Fletcher-class destroyer	14 November 1942	scrapped 1968
128	Badger	USA	Wickes-class destroyer	29 May 1919	scrapped 1945
129	Baependi	USA Brazil	Cannon-class destroyer escort	19 December 1944 (former USS Cannon)	Decommissioned 1973
130	Bagley	USA	Bagley-class destroyer	12 June 1937	scrapped 1947
131	Bahia	Brazil	Bahia-class light cruiser	1910	lost 4 July 1945
132	Bailey (DD-269)	USA UK	Clemson-class destroyer	27 June 1919	to UK as HMS Reading 26 November 1940
133	Bailey (DD-492)	USA	Benson-class destroyer	11 May 1942	decommissioned 1946, sunk as target 1969
134	Bainbridge	USA	Clemson-class destroyer	9 February 1921	scrapped 1945
135	Bairoko	USA	Commencement Bay-class escort carrier	16 July 1945	decommissioned 1955, scrapped 1960
136	Baker	USA	Cannon-class destroyer escort	23 December 1943	to France 1952, sunk as target 1970
137	Balch	USA	Porter-class destroyer leader	20 October 1936	scrapped 1946
138	Baldwin	USA	Gleaves-class destroyer	30 April 1943	decommissioned 1946, scuttled 1961
139	Baltimore	USA	Baltimore-class heavy cruiser	15 April 1943	decommissioned 2 July 1954, scrapped 1972
140	Bancroft (DD-256)	USA Canada	Clemson-class destroyer	30 June 1919	to Canada as HMCS St. Francis 24 September 1940
141	Bancroft (DD-598)	USA	Benson-class destroyer	30 April 1942	decommissioned 1946, scrapped 1973
142	Bangust	USA	Cannon-class destroyer escort	30 October 1943	to Peru 1952, scrapped 1979
143	Barb	United States	Gato-class submarine	2 April 1942	sold to Italy as Enrico Tazzoli 1954, scrapped 1973
144	Barber	USA	Buckley-class destroyer escort	10 October 1943	to Mexico 1969, struck 2001
145	Barham	UK	Queen Elizabeth-class battleship	19 August 1915	sunk 25 November 1941
146	Bari	Kingdom of Italy	light cruiser	1925 (former SMS Pillau)	sunk 28 June 1943
147	Barker	USA	Clemson-class destroyer	17 December 1919	scrapped 1945
148	Barnes	USA	Bogue-class escort carrier	20 February 1943	Decommissioned 29 August 1946, scrapped 1959
149	Barney	USA	Wickes-class destroyer	14 March 1919	scrapped 1946
150	Baron	USA	Cannon-class destroyer escort	5 July 1943	to Uruguay 1952, scrapped 1990
151	Barr	USA	Buckley-class destroyer escort	16 February 1944	sunk as target 1963
152	Barry	USA	Clemson-class destroyer	15 November 1921	sunk 21 June 1945
153	Bartolomeo Colleoni	Kingdom of Italy	Giussano-class light cruiser	10 February 1932	Sunk 19 July 1940
154	Barton (DD-599)	USA	Benson-class destroyer	29 May 1942	sunk 13 November 1942
155	Barton (DD-722)	USA	Allen M. Sumner-class destroyer	30 December 1943	sunk as target 1969
156	Basilisk	UK	B-class destroyer	4 March 1931	sunk 1 June 1940
157	HMAS Bataan	Australia	Tribal-class destroyer	25 May 1945	scrapped 1958
158	USS Bataan	USA	Independence-class aircraft carrier	17 November 1943	decommissioned 9 April 1954, scrapped 1960
159	Bates	USA	Buckley-class destroyer escort	13 September 1943	sunk by kamikazes 25 May 1945
160	Bath	USA UK Norway	Town-class destroyer	23 September 1940 (former USS Hopewell), to Norway as HNoMS Bath 9 January 1941	Sunk on 19 August 1941
161	Battler	USA UK	Attacker-class escort carrier	31 October 1942 (former USS Altamaha)	Returned to USN 12 February 1946, scrapped May 1946
162	Bauru	USA Brazil	Cannon-class destroyer escort	15 August 1944 (former USS Reybold)	Decommissioned 17 September 1981, museum ship
163	Beagle	UK	B-class destroyer	9 April 1931	scrapped Jan 1946
164	Beale	USA	Fletcher-class destroyer	23 December 1942	sunk as target 1969
165	Béarn	France Free French	aircraft carrier	May 1927	stricken Nov 1966, scrapped Mar 1967
166	Bearss	USA	Fletcher-class destroyer	12 April 1944	decommissioned 1963, scrapped 1976
167	Beatty (DD-640)	USA	Gleaves-class destroyer	7 May 1942	sunk 6 November 1943
168	Beatty (DD-756)	USA	Allen M. Sumner-class destroyer	31 March 1945	to Venezuela 1972, scrapped 1981
169	Bebas	USA	Evarts-class destroyer escort	15 May 1943	scrapped 1945
170	Beberibe	USA Brazil	Cannon-class destroyer escort	1 August 1944 (former USS Herzog)	Decommissioned 1968
171	Bedouin	UK	Tribal-class destroyer	15 March 1939	Sunk 15 June 1942
172	Begum	USA UK	Ruler-class escort carrier	2 August 1943 (former USS Bolinas)	returned to USN 4 January 1946, stricken 19 June 1946, renamed Raki
173	Belfast	UK	Town-class cruiser	5 August 1939	Museum ship since 21 October 1971 moored in London next to Tower Bridge
174	Bell	USA	Fletcher-class destroyer	4 March 1943	decommissioned 1946, sunk as target 1975
175	Belleau Wood	USA	Independence-class aircraft carrier	31 March 1943	"decommissioned 13 January 1947, transferred to France as Bois Belleau; scrapped 1961"
176	Belmont	USA UK	Town-class destroyer	8 October 1940 (former USS Satterlee)	sunk 31 January 1942
177	Benevente	USA Brazil	Cannon-class destroyer escort	19 December 1944 (former USS Christopher)	Decommissioned 1964
178	Bengal	India	Bathurst-class minesweeper	8 August 1942	Decommissioned 1960
179	Benham (DD-397)	USA	Benham-class destroyer	2 February 1939	sunk 15 November 1942
180	Benham (DD-796)	USA	Fletcher-class destroyer	20 December 1943	to Peru 1960, scrapped 1980
181	Benner	USA	Gearing-class destroyer	13 February 1945	scrapped 1975
182	Bennett	USA	Fletcher-class destroyer	9 February 1943	to Brazil 1959, scrapped 1978
183	Bennington	USA	Essex-class aircraft carrier	6 August 1944	decommissioned 15 January 1970, scrapped 1994
184	Bennion	USA	Fletcher-class destroyer	14 December 1943	decommissioned 1946, scrapped 1973
185	Benson	USA	Benson-class destroyer	25 July 1940	transferred to Taiwan 1954, scrapped 1974
186	Bermuda	UK	Fiji-class cruiser	21 August 1942	scrapped 1965
187	Bernadou	USA	Wickes-class destroyer	19 May 1919	scrapped 1945
188	Z11 Bernd von Arnim	Nazi Germany	Type 1934A destroyer	6 December 1938	scuttled 13 April 1940
189	Bertioga	USA Brazil	Cannon-class destroyer escort	1 August 1944 (former USS Pennewill)	Decommissioned 1964
190	Beverley	USA UK	Town-class destroyer	8 October 1940 (former USS Branch)	sunk 11 April 1943
191	Biddle	USA	Wickes-class destroyer	22 April 1919	scrapped 1946
192	Bideford	UK	Shoreham-class sloop	23 February 1932	Sold 14 September 1947
193	Biloxi	USA	Cleveland-class light cruiser	31 August 1943	Scrapped 1962
194	HMS Birmingham	UK	Southampton-class light cruiser	18 November 1937	scrapped 1960
195	USS Birmingham	USA	Cleveland-class light cruiser	29 January 1943	Scrapped 1959
196	Bismarck	Nazi Germany	Bismarck-class battleship	24 August 1940	sunk 27 May 1941
197	Bismarck Sea	USA	Casablanca-class escort carrier	20 May 1944	sunk 21 February 1945
198	Biter	UK	Avenger-class escort carrier	5 May 1942 (former Rio Parana)	Transferred to France as Dixmude 1945
199	Bivin	USA	John C. Butler-class destroyer escort	31 October 1944	decommissioned 1947, sunk as target 1969
200	Black	USA	Fletcher-class destroyer	21 May 1943	scrapped 1971
201	Black Prince	UK	Dido-class light cruiser	30 November 1943	Decommissioned March 1962
202	Blair	USA	Edsall-class destroyer escort	13 September 1943	decommissioned 1960, scrapped 1972
203	Blakeley	USA	Wickes-class destroyer	8 May 1919	scrapped 1945
204	Blanche	UK	B-class destroyer	14 February 1931	sunk 13 November 1939
205	Blanco Encalada	Chile	cruiser	ca.1893	scrapped 1946
206	Blessman	USA	Buckley-class destroyer escort	19 September 1943	to Taiwan 1967, scrapped 1995
207	Block Island (CVE-21)	USA	Bogue-class escort carrier	8 March 1943	Sunk 29 May 1944
208	Block Island (CVE-106)	USA	Commencement Bay-class escort carrier	30 December 1944	decommissioned 1954, scrapped 1960
209	Blücher	Nazi Germany	Admiral Hipper-class heavy cruiser	20 September 1939	sunk 9 April 1940
210	Blue (DD-387)	USA	Bagley-class destroyer	14 August 1937	sunk 22 August 1942
211	Blue (DD-744)	USA	Allen M. Sumner-class destroyer	20 March 1944	sunk as target 1974
212	B?yskawica	Poland	Grom-class destroyer	25 November 1937	decommissioned 1 May 1976, preserved as museum ship
213	Boadicea	UK	B-class destroyer	7 April 1931	sunk 13 June 1944
214	Bocaina	USA Brazil	Cannon class destroyer escort	20 March 1945 (former USS Marts)	Decommissioned 1975
215	Boggs	USA	Wickes class destroyer-minesweeper	23 September 1918	scrapped 1946
216	Bogue	USA	Bogue-class escort carrier	26 September 1942	Decommissioned 30 November 1946, scrapped 1960
217	Boise	USA	Brooklyn-class light cruiser	12 August 1938	Decommissioned 11 January 1951, sold to Argentina. Scrapped 1978
218	Bolzano	Kingdom of Italy	Trento class heavy cruiser	1933	sunk 1944
219	Bombay	India	Bathurst class minesweeper	24 April 1942	Decommissioned 1960
220	Bon Homme Richard	USA	Essex-class aircraft carrier	26 November 1944	decommissioned 2 July 1971, scrapped 1992
221	Booth	USA	Cannon class destroyer escort	19 September 1943	to Philippines 1967, lost in typhoon 1981
222	Bordelon	USA	Gearing class destroyer	5 June 1945	to Iran 1977
223	Boreas	UK	B-class destroyer	20 February 1931	became Salamis (Greece), 1944, returned and scrapped 1951
224	Borie (I)	USA	Clemson class destroyer	24 March 1920	sank 2 November 1943 after ramming and sinking U-405
225	Borie (II)	USA	Sumner class destroyer	21 September 1944	to Argentina 1972, scrapped 1984
226	Borum	USA	Buckley class destroyer escort	30 November 1943	decommissioned 1946, scrapped 1966
227	Boston	USA	Baltimore-class heavy cruiser	30 June 1943	decommissioned 1970, scrapped 1975
228	Bostwick	USA	Cannon class destroyer escort	1 December 1943	to Republic of China 1948, scrapped 1972
229	Bougainville	USA	Casablanca-class escort carrier	18 June 1944	decommissioned 1946, scrapped 1960
230	Bowers	USA	Buckley class destroyer escort	27 January 1944	to Philippines 1961
231	Boxer	USA	Ticonderoga-class aircraft carrier	16 April 1945	decommissioned 1 December 1969, scrapped 1971
232	Boyd	USA	Fletcher-class destroyer	8 May 1943	to Turkey 1969, scrapped 1981
233	Boyle	USA	Benson-class destroyer	15 August 1942	decommissioned 1946, sunk as target 1973
234	Brackett	USA	Evarts class destroyer escort	18 October 1943	scrapped 1947
235	Bracui	USA Brazil	Cannon-class destroyer escort	15 August 1944 (former USS McAnn)	Decommissioned 11 July 1972
236	HMS Bradford	USA UK	Town class destroyer	8 October 1940 (former USS McLanahan)	scrapped 1946
237	Bradford	USA	Fletcher-class destroyer	12 June 1943	to Greece 1962, scrapped 1981
238	Braine	USA	Fletcher-class destroyer	11 May 1943	to Argentina 1971, sunk as target 1983
239	Branch	USA UK	Clemson class destroyer	26 July 1920	to UK 8 October 1940 as HMS Beverly
240	Brandenburg	Nazi Germany	minelayer	1 May 1943 (captured French transport Kita)	sunk 21 September 1943
241	Brazen	UK	B-class destroyer	8 April 1931	sunk 20 July 1940
242	Breckinridge	USA	Wickes class destroyer	27 February 1919	scrapped 1946
243	Breeman	USA	Cannon class destroyer escort	12 December 1943	to Republic of China 1948, scrapped 1972
244	Breese	USA	Wickes-class destroyer-minelayer	23 October 1918	scrapped May 1946
245	Bremerton	USA	Baltimore-class heavy cruiser	29 April 1945	decommissioned 1960, scrapped 1974
246	Brennan	USA	Evarts class destroyer escort	20 January 1943	scrapped 1946
247	Bretagne	France	Bretagne-class battleship	Sep 1915	sunk 3 July 1940
248	Breton	USA	Bogue-class escort carrier	12 April 1943	decommissioned 1946, scrapped 1972
249	Bright	USA	Cannon class destroyer escort	30 June 1944	to France 1950, scrapped 1965
250	Brighton	USA UK USSR	Town class destroyer	23 September 1940 (former USS Cowell)	to USSR as Zharki 16 July 1944
251	Brilliant	UK	B-class destroyer	21 February 1931	scrapped Aug 1947
252	Brister	USA	Edsall class destroyer escort	30 November 1943	scrapped 1968
253	Bristol (I)	USA	Gleaves class destroyer	22 October 1941	sunk 13 October 1943
254	Bristol (II)	USA	Sumner class destroyer	17 March 1945	to Taiwan 1969, scrapped 1993
255	Broadwater	USA UK	Town class destroyer	9 October 1940 (former USS Mason)	sunk 18 October 1941
256	Broadway	USA UK	Town class destroyer	8 October 1940 (former USS Hunt)	scrapped 1947
257	Bronstein	USA	Cannon class destroyer escort	13 December 1943	to Uruguay 1952, scrapped 1988
258	Brooklyn	USA	Brooklyn-class light cruiser	30 September 1937	Decommissioned 3 January 1947, sold to Chile. Sank in Pacific 1992
259	Brooks	USA	Clemson class destroyer	18 June 1920	constructive loss 6 January 1945, scrapped
260	Broome	USA	Clemson class destroyer	31 October 1919	scrapped 1946
261	Brough	USA	Edsall class destroyer escort	18 September 1943	scrapped 1967
262	Brown	USA	Fletcher-class destroyer	10 July 1943	to Greece 1962, scrapped 1981
263	Brownson	USA	Fletcher class destroyer	3 February 1943	sunk 26 December 1943
264	Z8 Bruno Heinemann	Nazi Germany	Type 1934A destroyer	8 January 1938	sunk 25 January 1942
265	Brush	USA	Sumner class destroyer	17 April 1944	to Taiwan 1969
266	Bryant	USA	Fletcher-class destroyer	4 December 1943	decommissioned 1947, sunk as a target 1969
267	Buchanan (DD-131)	USA UK	Wickes-class destroyer	20 January 1919	to UK as HMS Campbeltown 9 September 1940, expended as bomb-ship at St Nazaire 29 March 1942
268	Buchanan (II)	USA	Gleaves class destroyer	21 March 1942	to Turkey 1949, scrapped 1976
269	Buck	USA	Sims-class destroyer	15 May 1940	sunk 9 October 1943
270	Buckley	USA	Buckley class destroyer escort	30 April 1943	scrapped 1969
271	Buenos Aires	Argentina	Buenos Aires class destroyer	1938	1971
272	Bull	USA	Buckley class destroyer escort	12 August 1943	to Taiwan 1966, scrapped 1995
273	Bullard	USA	Fletcher-class destroyer	9 April 1943	decommissioned 1946, scrapped 1973
274	Bulldog	UK	B-class destroyer	8 April 1931	scrapped Jan 1946
275	Bulmer	USA	Clemson class destroyer	16 August 1920	scrapped 1947
276	Bunch	USA	Buckley class destroyer escort	21 August 1943	decommissioned 1946, scrapped 1965
277	Bunker Hill	USA	Essex-class aircraft carrier	24 May 1943	decommissioned 9 January 1947, scrapped 1973
278	Burden R. Hastings	USA	Evarts class destroyer escort	1 May 1943	scrapped 1946
279	Burke	USA	Buckley class destroyer escort	20 July 1943	to Colombia 1968, scrapped 1974
280	Burnham	USA UK	Town class destroyer	8 October 1940 (former USS Aulick)	scrapped 1948
281	Burns	USA	Fletcher-class destroyer	3 April 1943	decommissioned 1946, sunk as target 1974
282	Burrows	USA	Cannon class destroyer escort	19 December 1943	to Netherlands 1950, scrapped 1968
283	Burwell	USA UK	Town class destroyer	8 October 1940 (former USS Laub)	scrapped 1947
284	Burza	Poland	Wicher class destroyer	10 July 1932	Scrapped 1977
285	Bush	USA	Fletcher-class destroyer	10 May 1943	sunk 6 April 1945
286	Butler	USA	Gleaves class destroyer	15 August 1942	scrapped 1948
287	Buxton	USA UK Canada	Town-class destroyer	8 October 1940 (former USS Edwards), to RCN Aug 1942	scrapped 1945
288	Cabana	USA	Evarts class destroyer escort	9 July 1943	scrapped 1947
289	Cabot	USA	Independence class light carrier	24 July 1943	decommissioned 21 January 1955, sold to Spain as Dedalo 1967, scrapped 2002
